path,frontal,half,mask,not_mask
../../data/5/004247_008656_10.jpg,0,0,0,0
../../data/5/004247_008670_10.jpg,1,0,0,1
../../data/5/004247_008722_10.jpg,0,1,0,1
../../data/5/004247_008729_10.jpg,0,1,0,1
../../data/5/004247_008770_10.jpg,1,0,0,1
../../data/5/004255_007696_10.jpg,0,1,0,1
../../data/5/004255_007714_10.jpg,0,1,0,1
../../data/5/004255_007719_10.jpg,0,1,0,1
../../data/5/004255_007729_10.jpg,0,1,0,1
../../data/5/004255_007732_10.jpg,0,1,0,1
../../data/5/004261_007790_10.jpg,0,1,0,1
../../data/5/004269_007820_10.jpg,0,1,0,1
../../data/5/004282_007922_10.jpg,0,1,1,0
../../data/5/004282_007996_10.jpg,1,0,1,0
../../data/5/004282_008011_10.jpg,0,1,1,0
../../data/5/004282_008034_10.jpg,0,1,1,0
../../data/5/004282_008061_10.jpg,1,0,1,0
../../data/5/004286_007926_10.jpg,0,1,0,1
../../data/5/004286_007937_10.jpg,0,1,0,1
../../data/5/004286_007976_10.jpg,0,0,0,0
../../data/5/004286_008039_10.jpg,0,1,0,1
../../data/5/004286_008047_10.jpg,0,1,0,1
../../data/5/004286_008067_10.jpg,0,1,0,1
../../data/5/004289_008083_10.jpg,1,0,1,0
../../data/5/004292_008117_10.jpg,0,1,1,0
../../data/5/004292_008121_10.jpg,0,0,0,0
../../data/5/004298_008150_10.jpg,0,1,1,0
../../data/5/004298_008178_10.jpg,0,1,1,0
../../data/5/004298_008224_10.jpg,0,1,1,0
../../data/5/004298_008269_10.jpg,0,1,1,0
../../data/5/004304_008158_10.jpg,1,0,0,1
../../data/5/004304_008169_10.jpg,1,0,0,1
../../data/5/004311_008298_10.jpg,1,0,0,1
../../data/5/004317_008354_10.jpg,0,0,0,0
../../data/5/004317_008355_10.jpg,0,0,0,0
../../data/5/004317_008402_10.jpg,0,1,1,0
../../data/5/004317_008418_10.jpg,0,1,1,0
../../data/5/004318_008431_10.jpg,0,1,1,0
../../data/5/004320_008527_10.jpg,0,1,1,0
../../data/5/004329_008627_10.jpg,1,0,0,1
../../data/5/004331_008673_10.jpg,0,1,1,0
../../data/5/004331_008699_10.jpg,0,1,1,0
../../data/5/004331_008708_10.jpg,0,1,1,0
../../data/5/004332_008649_10.jpg,1,0,0,1
../../data/5/004336_008691_10.jpg,0,0,0,0
../../data/5/004338_008713_10.jpg,0,1,0,1
../../data/5/004339_008725_10.jpg,0,1,0,1
../../data/5/004339_008728_10.jpg,0,1,0,1
../../data/5/004339_008750_10.jpg,0,1,0,1
../../data/5/004339_008786_10.jpg,0,1,0,1
../../data/5/004340_008778_10.jpg,0,1,1,0
../../data/5/004348_008845_10.jpg,0,1,0,1
../../data/5/004356_008877_10.jpg,0,1,1,0
../../data/5/004356_008884_10.jpg,0,1,1,0
../../data/5/004358_008918_10.jpg,0,1,1,0
../../data/5/004368_008977_10.jpg,0,0,0,0
../../data/5/004372_009052_10.jpg,0,1,0,1
../../data/5/004372_009089_10.jpg,1,0,0,1
../../data/5/004372_009116_10.jpg,0,1,0,1
../../data/5/004373_009023_10.jpg,0,1,1,0
../../data/5/004373_009041_10.jpg,0,1,1,0
../../data/5/004373_009065_10.jpg,0,1,1,0
../../data/5/004376_009130_10.jpg,0,1,1,0
../../data/5/004379_009177_10.jpg,0,1,1,0
../../data/5/004379_009210_10.jpg,0,1,1,0
../../data/5/004379_009229_10.jpg,0,1,1,0
../../data/5/004471_009498_10.jpg,0,1,1,0
../../data/5/004478_009529_10.jpg,0,0,0,0
../../data/5/004486_009588_10.jpg,0,1,1,0
../../data/5/004488_009568_10.jpg,0,0,0,0
../../data/5/004490_009574_10.jpg,0,0,0,0
../../data/5/004507_009664_10.jpg,0,0,0,0
../../data/5/004507_009679_10.jpg,0,0,0,0
../../data/5/004508_009690_10.jpg,0,1,1,0
../../data/5/004531_009781_10.jpg,1,0,1,0
../../data/5/004531_009791_10.jpg,1,0,1,0
../../data/5/004531_009817_10.jpg,1,0,1,0
../../data/5/004531_009818_10.jpg,1,0,1,0
../../data/5/004531_009859_10.jpg,0,0,0,0
../../data/5/004531_009879_10.jpg,0,1,1,0
../../data/5/004533_009791_10.jpg,0,1,1,0
../../data/5/004536_009833_10.jpg,0,0,0,0
../../data/5/004575_009970_10.jpg,1,0,0,1
../../data/5/004575_009981_10.jpg,0,0,0,0
../../data/5/004575_009983_10.jpg,0,0,0,0
../../data/5/004621_010747_10.jpg,0,1,0,1
../../data/5/004642_010860_10.jpg,0,1,0,1
../../data/5/004642_010876_10.jpg,0,1,0,1
../../data/5/004642_010953_10.jpg,0,1,0,1
../../data/5/004642_010986_10.jpg,0,1,0,1
../../data/5/004644_011018_10.jpg,0,0,0,0
../../data/5/004646_011051_10.jpg,1,0,0,1
../../data/5/004648_011323_10.jpg,0,1,0,1
../../data/5/004654_011518_10.jpg,1,0,0,1
../../data/5/004661_011687_10.jpg,0,1,0,1
../../data/5/004661_011756_10.jpg,0,1,0,1
../../data/5/004661_011762_10.jpg,0,1,0,1
../../data/5/004661_011823_10.jpg,0,1,0,1
